o,h,l,c,time
1.10125,1.10536,1.10084,1.10420,2016-06-26T21:00:00.000000000Z
1.10434,1.10746,1.10340,1.10727,2016-06-26T22:00:00.000000000Z
1.10728,1.10748,1.10150,1.10400,2016-06-26T23:00:00.000000000Z
1.10402,1.10498,1.10046,1.10125,2016-06-27T00:00:00.000000000Z
1.10122,1.10151,1.09941,1.09996,2016-06-27T01:00:00.000000000Z
1.09995,1.10108,1.09842,1.10014,2016-06-27T02:00:00.000000000Z
1.10011,1.10304,1.10011,1.10290,2016-06-27T03:00:00.000000000Z
1.10292,1.10332,1.10002,1.10142,2016-06-27T04:00:00.000000000Z
1.10138,1.10405,1.10138,1.10394,2016-06-27T05:00:00.000000000Z
1.10393,1.10600,1.10149,1.10416,2016-06-27T06:00:00.000000000Z
1.10419,1.10679,1.10410,1.10648,2016-06-27T07:00:00.000000000Z
1.10650,1.10838,1.10335,1.10512,2016-06-27T08:00:00.000000000Z
1.10514,1.10514,1.10186,1.10334,2016-06-27T09:00:00.000000000Z
1.10337,1.10351,1.10032,1.10140,2016-06-27T10:00:00.000000000Z
1.10138,1.10206,1.09816,1.09934,2016-06-27T11:00:00.000000000Z
1.09932,1.10051,1.09710,1.09924,2016-06-27T12:00:00.000000000Z
1.09922,1.10212,1.09881,1.10146,2016-06-27T13:00:00.000000000Z
1.10150,1.10288,1.09726,1.09733,2016-06-27T14:00:00.000000000Z
1.09735,1.10234,1.09722,1.10222,2016-06-27T15:00:00.000000000Z
1.10219,1.10443,1.10170,1.10384,2016-06-27T16:00:00.000000000Z
1.10382,1.10402,1.10011,1.10058,2016-06-27T17:00:00.000000000Z
1.10060,1.10232,1.09958,1.10032,2016-06-27T18:00:00.000000000Z
1.10036,1.10204,1.10000,1.10180,2016-06-27T19:00:00.000000000Z
1.10176,1.10254,1.10146,1.10248,2016-06-27T20:00:00.000000000Z
1.10245,1.10286,1.10178,1.10212,2016-06-27T21:00:00.000000000Z
1.10216,1.10248,1.10105,1.10105,2016-06-27T22:00:00.000000000Z
1.10108,1.10189,1.10108,1.10139,2016-06-27T23:00:00.000000000Z
1.10136,1.10258,1.10130,1.10197,2016-06-28T00:00:00.000000000Z
1.10200,1.10536,1.10178,1.10430,2016-06-28T01:00:00.000000000Z
1.10434,1.10597,1.10401,1.10510,2016-06-28T02:00:00.000000000Z
1.10510,1.10572,1.10433,1.10564,2016-06-28T03:00:00.000000000Z
1.10568,1.10642,1.10546,1.10621,2016-06-28T04:00:00.000000000Z
1.10624,1.10639,1.10530,1.10617,2016-06-28T05:00:00.000000000Z
1.10614,1.10756,1.10479,1.10710,2016-06-28T06:00:00.000000000Z
1.10710,1.10773,1.10539,1.10693,2016-06-28T07:00:00.000000000Z
1.10696,1.10794,1.10533,1.10534,2016-06-28T08:00:00.000000000Z
1.10534,1.10938,1.10534,1.10928,2016-06-28T09:00:00.000000000Z
1.10932,1.11122,1.10858,1.10894,2016-06-28T10:00:00.000000000Z
1.10891,1.10926,1.10704,1.10708,2016-06-28T11:00:00.000000000Z
1.10710,1.10846,1.10640,1.10716,2016-06-28T12:00:00.000000000Z
1.10719,1.10721,1.10526,1.10584,2016-06-28T13:00:00.000000000Z
1.10584,1.10725,1.10486,1.10517,2016-06-28T14:00:00.000000000Z
1.10514,1.10598,1.10363,1.10526,2016-06-28T15:00:00.000000000Z
1.10529,1.10666,1.10448,1.10526,2016-06-28T16:00:00.000000000Z
1.10528,1.10566,1.10404,1.10406,2016-06-28T17:00:00.000000000Z
1.10409,1.10560,1.10350,1.10468,2016-06-28T18:00:00.000000000Z
1.10470,1.10798,1.10464,1.10781,2016-06-28T19:00:00.000000000Z
1.10784,1.10906,1.10639,1.10656,2016-06-28T20:00:00.000000000Z
1.10667,1.10820,1.10612,1.10780,2016-06-28T21:00:00.000000000Z
1.10785,1.10792,1.10697,1.10725,2016-06-28T22:00:00.000000000Z
1.10730,1.10766,1.10720,1.10757,2016-06-28T23:00:00.000000000Z
1.10760,1.10768,1.10592,1.10626,2016-06-29T00:00:00.000000000Z
1.10626,1.10672,1.10494,1.10518,2016-06-29T01:00:00.000000000Z
1.10521,1.10653,1.10497,1.10652,2016-06-29T02:00:00.000000000Z
1.10656,1.10694,1.10623,1.10676,2016-06-29T03:00:00.000000000Z
1.10674,1.10684,1.10627,1.10676,2016-06-29T04:00:00.000000000Z
1.10673,1.10696,1.10549,1.10562,2016-06-29T05:00:00.000000000Z
1.10562,1.10800,1.10529,1.10704,2016-06-29T06:00:00.000000000Z
1.10701,1.11034,1.10620,1.10725,2016-06-29T07:00:00.000000000Z
1.10722,1.10778,1.10598,1.10618,2016-06-29T08:00:00.000000000Z
1.10614,1.10680,1.10520,1.10647,2016-06-29T09:00:00.000000000Z
1.10644,1.10968,1.10641,1.10890,2016-06-29T10:00:00.000000000Z
1.10890,1.10960,1.10702,1.10869,2016-06-29T11:00:00.000000000Z
1.10868,1.11118,1.10802,1.10818,2016-06-29T12:00:00.000000000Z
1.10820,1.11198,1.10742,1.11188,2016-06-29T13:00:00.000000000Z
1.11185,1.11306,1.10900,1.11039,2016-06-29T14:00:00.000000000Z
1.11042,1.11240,1.11006,1.11168,2016-06-29T15:00:00.000000000Z
1.11164,1.11164,1.10936,1.10978,2016-06-29T16:00:00.000000000Z
1.10982,1.11148,1.10920,1.11140,2016-06-29T17:00:00.000000000Z
1.11136,1.11144,1.11042,1.11069,2016-06-29T18:00:00.000000000Z
1.11070,1.11105,1.10974,1.11026,2016-06-29T19:00:00.000000000Z
1.11023,1.11254,1.11005,1.11247,2016-06-29T20:00:00.000000000Z
1.11230,1.11272,1.11132,1.11266,2016-06-29T21:00:00.000000000Z
1.11262,1.11273,1.11209,1.11234,2016-06-29T22:00:00.000000000Z
1.11236,1.11276,1.11198,1.11222,2016-06-29T23:00:00.000000000Z
1.11224,1.11238,1.11088,1.11094,2016-06-30T00:00:00.000000000Z
1.11094,1.11126,1.11050,1.11084,2016-06-30T01:00:00.000000000Z
1.11086,1.11196,1.11058,1.11082,2016-06-30T02:00:00.000000000Z
1.11079,1.11108,1.10988,1.11030,2016-06-30T03:00:00.000000000Z
1.11032,1.11082,1.11002,1.11018,2016-06-30T04:00:00.000000000Z
1.11014,1.11023,1.10856,1.10861,2016-06-30T05:00:00.000000000Z
1.10858,1.11134,1.10850,1.11072,2016-06-30T06:00:00.000000000Z
1.11074,1.11199,1.10868,1.11160,2016-06-30T07:00:00.000000000Z
1.11157,1.11354,1.11104,1.11212,2016-06-30T08:00:00.000000000Z
1.11207,1.11381,1.11104,1.11270,2016-06-30T09:00:00.000000000Z
1.11268,1.11546,1.11268,1.11448,2016-06-30T10:00:00.000000000Z
1.11451,1.11542,1.10984,1.11045,2016-06-30T11:00:00.000000000Z
1.11048,1.11186,1.10769,1.11128,2016-06-30T12:00:00.000000000Z
1.11132,1.11196,1.10904,1.11161,2016-06-30T13:00:00.000000000Z
1.11165,1.11241,1.10900,1.11180,2016-06-30T14:00:00.000000000Z
1.11183,1.11201,1.10316,1.10338,2016-06-30T15:00:00.000000000Z
1.10343,1.10834,1.10244,1.10730,2016-06-30T16:00:00.000000000Z
1.10728,1.10780,1.10354,1.10508,2016-06-30T17:00:00.000000000Z
1.10505,1.10818,1.10488,1.10802,2016-06-30T18:00:00.000000000Z
1.10799,1.10994,1.10767,1.10942,2016-06-30T19:00:00.000000000Z
1.10938,1.11066,1.10880,1.11062,2016-06-30T20:00:00.000000000Z
1.10990,1.11078,1.10958,1.11028,2016-06-30T21:00:00.000000000Z
1.11031,1.11086,1.10947,1.10999,2016-06-30T22:00:00.000000000Z
1.10996,1.11082,1.10981,1.11029,2016-06-30T23:00:00.000000000Z
1.11027,1.11164,1.11018,1.11125,2016-07-01T00:00:00.000000000Z
1.11120,1.11166,1.11038,1.11038,2016-07-01T01:00:00.000000000Z
1.11042,1.11059,1.11004,1.11036,2016-07-01T02:00:00.000000000Z
1.11034,1.11054,1.10898,1.10901,2016-07-01T03:00:00.000000000Z
1.10898,1.11006,1.10875,1.11000,2016-07-01T04:00:00.000000000Z
1.11002,1.11002,1.10790,1.10802,2016-07-01T05:00:00.000000000Z
1.10802,1.10948,1.10722,1.10885,2016-07-01T06:00:00.000000000Z
1.10882,1.11168,1.10856,1.11074,2016-07-01T07:00:00.000000000Z
1.11072,1.11150,1.10946,1.11059,2016-07-01T08:00:00.000000000Z
1.11058,1.11138,1.11014,1.11065,2016-07-01T09:00:00.000000000Z
1.11062,1.11244,1.11020,1.11232,2016-07-01T10:00:00.000000000Z
1.11236,1.11384,1.11154,1.11198,2016-07-01T11:00:00.000000000Z
1.11202,1.11440,1.11194,1.11323,2016-07-01T12:00:00.000000000Z
1.11320,1.11694,1.11320,1.11534,2016-07-01T13:00:00.000000000Z
1.11531,1.11557,1.11126,1.11324,2016-07-01T14:00:00.000000000Z
1.11322,1.11528,1.11309,1.11442,2016-07-01T15:00:00.000000000Z
1.11446,1.11553,1.11326,1.11356,2016-07-01T16:00:00.000000000Z
1.11356,1.11488,1.11252,1.11268,2016-07-01T17:00:00.000000000Z
1.11272,1.11314,1.11180,1.11258,2016-07-01T18:00:00.000000000Z
1.11256,1.11398,1.11232,1.11347,2016-07-01T19:00:00.000000000Z
1.11344,1.11436,1.11258,1.11384,2016-07-01T20:00:00.000000000Z
1.11306,1.11375,1.11268,1.11324,2016-07-03T21:00:00.000000000Z
1.11328,1.11372,1.11257,1.11297,2016-07-03T22:00:00.000000000Z
1.11298,1.11372,1.11262,1.11278,2016-07-03T23:00:00.000000000Z
1.11276,1.11332,1.11255,1.11293,2016-07-04T00:00:00.000000000Z
1.11290,1.11380,1.11278,1.11352,2016-07-04T01:00:00.000000000Z
1.11355,1.11446,1.11355,1.11378,2016-07-04T02:00:00.000000000Z
1.11378,1.11396,1.11368,1.11376,2016-07-04T03:00:00.000000000Z
1.11380,1.11394,1.11348,1.11354,2016-07-04T04:00:00.000000000Z
1.11358,1.11442,1.11334,1.11358,2016-07-04T05:00:00.000000000Z
1.11354,1.11426,1.11189,1.11192,2016-07-04T06:00:00.000000000Z
1.11193,1.11349,1.11186,1.11232,2016-07-04T07:00:00.000000000Z
1.11228,1.11264,1.10979,1.11090,2016-07-04T08:00:00.000000000Z
1.11088,1.11330,1.11042,1.11294,2016-07-04T09:00:00.000000000Z
1.11296,1.11334,1.11218,1.11228,2016-07-04T10:00:00.000000000Z
1.11232,1.11400,1.11213,1.11362,2016-07-04T11:00:00.000000000Z
1.11359,1.11478,1.11317,1.11444,2016-07-04T12:00:00.000000000Z
1.11443,1.11448,1.11290,1.11318,2016-07-04T13:00:00.000000000Z
